run_id,condition_index,repetition,seed,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
113,11,3,16633016407309990851,0.5,0.05,3.3181590739110187,52.525252525252526,0.024518869572904972,0.003363768637665442,0.0,0.04558754683656635,6.0
114,11,4,15557843267793863574,0.5,0.05,3.1869140714695203,53.535353535353536,0.03412997994625415,0.019478301774583838,0.0,0.050145393835762955,6.0
115,11,5,13774002591901405648,0.5,0.05,3.2784006334149045,50.505050505050505,0.020000000000000004,-0.016399494189416813,0.0,0.05185211714552463,6.0
116,11,6,16072834732045810525,0.5,0.05,3.400877062210887,44.44444444444444,0.03706723844157588,-0.0012048796315964423,0.0,0.05505018390819303,6.0
117,11,7,7671417155738784627,0.5,0.05,2.820129120905861,56.56565656565657,0.020000000000000004,-0.013494072276957933,0.0,0.04453060374238344,6.0
118,11,8,6229778638932050950,0.5,0.05,2.791250108690857,49.494949494949495,0.03104740022428626,-0.012130447630821984,0.0,0.06456837233400639,6.0
119,11,9,4071234822802519213,0.5,0.05,2.956614200821181,43.43434343434343,0.02,-0.004200236845823397,0.0,0.04933815456459918,6.0
120,12,0,14144982686092207667,0.5,0.1,3.2316639528356927,49.494949494949495,0.02,-0.013433814759110083,0.0,0.02615831912209921,6.0
121,12,1,2233429160994791488,0.5,0.1,3.274147280768355,43.43434343434343,0.02,-0.00827032519500075,0.0,0.03541937271969941,6.0
122,12,2,17956255561573908039,0.5,0.1,3.2611329837769163,44.44444444444444,0.019999999999999997,0.009793826836476704,0.0,0.032576560180715045,6.0
123,12,3,4375901905356782836,0.5,0.1,2.8551609825262143,50.505050505050505,0.020000000000000004,0.03338620274552868,0.0,0.02376055144000869,6.0
124,12,4,17261420801594107949,0.5,0.1,3.4662879157523823,37.37373737373738,0.020000000000000004,-0.021747257668933522,0.0,0.04178903763726858,6.0
125,12,5,4324354792618486536,0.5,0.1,2.86437016369233,56.56565656565657,0.021028801563510745,-0.008203026884961976,0.0,0.02649015457523352,6.0
126,12,6,2037671924082947936,0.5,0.1,4.0239328544994155,42.42424242424242,0.020000000000000004,-0.013056542952083151,0.0,0.029731479189426886,6.0
127,12,7,557049966988806392,0.5,0.1,3.412931567607542,46.464646464646464,0.02686530855983371,-0.01032846552227136,0.0,0.04507480940138165,6.0
128,12,8,11794456563241971447,0.5,0.1,3.1947396561214507,53.535353535353536,0.020000000000000004,-0.01644427674136525,0.0,0.027072863881281068,6.0
